Kabupaten/Kota,Pengangguran karena COVID-19,Bukan Angkatan Kerja (BAK) karena COVID-19,Sementara Tidak Bekerja karena COVID-19,Pengurangan Jam Kerja karena COVID-19,Jumlah
Kab. Kepulauan Mentawai,116,81,181,6679,7057
Kab. Pesisir Selatan,2525,1532,1553,22628,28238
Kab. Solok,660,1044,743,28989,31436
Kab. Sijunjung,525,1023,623,12775,14946
Kab. Tanah Datar,1543,677,2228,22557,27005
Kab. Padang Pariaman,3933,1273,3575,35484,44265
Kab. Agam,1700,799,2435,46073,51007
Kab. Lima Puluh Kota,1488,1309,2686,30261,35744
Kab. Pasaman,1064,249,482,13419,15214
Kab. Solok Selatan,570,288,452,11686,12996
Kab. Dharmasraya,1553,278,468,11890,14189
Kab. Pasaman Barat,1285,278,1221,27786,30570
Kota Padang,13012,3143,5837,115270,137262
Kota Solok,705,173,273,6748,7899
Kota Sawahlunto,625,386,746,7296,9053
Kota Padang Panjang,411,203,632,6410,7656
Kota Bukittinggi,1723,261,1279,19168,22431
Kota Payakumbuh,1551,268,1519,18464,21802
Kota Pariaman,468,657,830,10831,12786
Provinsi Sumatera Barat,35457,13922,27763,454414,531556
Sumber: Diolah dari data Survei Angkatan Kerja Nasional (Sakernas) Agustus 2020,,,,,
Estimasi dengan menggunakan penimbang hasil proyeksi SUPAS2015,,,,,
Source Url: https://sumbar.bps.go.id/indicator/6/480/1/jumlah-penduduk-usia-kerja-yang-terdampak-covid-19-menurut-kabupaten-kota.html,,,,,
"Access Time: January 3, 2022, 8:01 pm",,,,,
